Dist, px;Temp, gray values;;;;;;GV;Temp
532,00;113,89;73,40;;;;;;
533,00;113,89;73,40;;;;;;
534,00;113,96;73,44;;;;;;
535,00;112,96;72,90;;;;;;
536,00;111,81;72,27;;;;;;
537,00;110,67;71,65;;;;;;
538,00;109,97;71,27;;;;;;
539,00;108,98;70,73;;;;;;
540,00;108,39;70,41;;;;;;
541,00;106,84;69,57;;;;;;
542,00;106,67;69,47;;;;;;
543,00;107,12;69,72;;;;;;
544,00;107,36;69,85;;;;;;
545,00;107,64;70,00;;;;;;
546,00;106,93;69,61;;;;;;
547,00;107,81;70,10;;;;;;
548,00;108,60;70,53;;;;;;
549,00;109,84;71,20;;;;;;
550,00;110,19;71,39;;;;;;
551,00;110,36;71,48;;;;;;
552,00;109,45;70,98;;;;;;
553,00;109,68;71,11;;;;;;
554,00;109,62;71,08;;;;;;
555,00;109,68;71,11;;;;;;
556,00;110,78;71,71;;;;;;
557,00;111,09;71,88;;;;;;
558,00;111,40;72,05;;;;;;
559,00;111,22;71,95;;;;;;
560,00;111,82;72,28;;;;;;
561,00;111,63;72,18;;;;;;
562,00;111,76;72,25;;;;;;
563,00;111,04;71,85;;;;;;
564,00;112,00;72,38;;;;;;
565,00;112,08;72,42;;;;;;
566,00;114,08;73,51;;;;;;
567,00;115,96;74,53;;;;;;
568,00;115,00;74,01;;;;;;
569,00;115,00;74,01;;;;;;
570,00;115,04;74,03;;;;;;
571,00;116,00;74,55;;;;;;
572,00;116,05;74,58;;;;;;
573,00;116,14;74,63;;;;;;
574,00;116,23;74,68;;;;;;
575,00;116,31;74,72;;;;;;
576,00;116,21;74,67;;;;;;
577,00;115,50;74,28;;;;;;
578,00;115,37;74,21;;;;;;
579,00;116,05;74,58;;;;;;
580,00;117,09;75,15;;;;;;
581,00;116,45;74,80;;;;;;
582,00;113,83;73,37;;;;;;
583,00;113,11;72,98;;;;;;
584,00;113,53;73,21;;;;;;
585,00;114,48;73,73;;;;;;
586,00;113,48;73,18;;;;;;
587,00;112,11;72,43;;;;;;
588,00;111,11;71,89;;;;;;
589,00;111,11;71,89;;;;;;
590,00;111,15;71,91;;;;;;
591,00;109,23;70,87;;;;;;
592,00;109,01;70,75;;;;;;
593,00;110,35;71,48;;;;;;
594,00;111,59;72,15;;;;;;
595,00;111,55;72,13;;;;;;
596,00;113,72;73,31;;;;;;
597,00;114,97;73,99;;;;;;
598,00;115,78;74,43;;;;;;
599,00;115,31;74,18;;;;;;
600,00;115,79;74,44;;;;;;
601,00;116,12;74,62;;;;;;
602,00;116,17;74,64;;;;;;
603,00;116,02;74,57;;;;;;
604,00;116,38;74,76;;;;;;
605,00;117,20;75,21;;;;;;
606,00;118,86;76,11;;;;;;
607,00;118,98;76,18;;;;;;
608,00;118,52;75,93;;;;;;
609,00;117,99;75,64;;;;;;
610,00;117,83;75,55;;;;;;
611,00;119,00;76,19;;;;;;
612,00;113,87;73,39;;;;;;
613,00;123,73;78,76;;;;;;
614,00;115,07;74,05;;;;;;
615,00;115,36;74,20;;;;;;
616,00;112,66;72,74;;;;;;
617,00;59,01;43,52;;;;;;
618,00;102,89;67,42;;;;;;
619,00;241,19;142,73;;;;;;
620,00;155,53;96,08;;;;;;
621,00;56,39;42,09;;;;;;
622,00;115,86;74,48;;;;;;
623,00;108,69;70,57;;;;;;
624,00;123,45;78,61;;;;;;
625,00;107,86;70,12;;;;;;
626,00;113,31;73,09;;;;;;
627,00;119,20;76,29;;;;;;
628,00;113,51;73,20;;;;;;
629,00;113,80;73,35;;;;;;
630,00;113,73;73,32;;;;;;
631,00;114,22;73,58;;;;;;
632,00;114,13;73,54;;;;;;
633,00;114,53;73,75;;;;;;
634,00;114,46;73,72;;;;;;
635,00;114,86;73,93;;;;;;
636,00;113,44;73,16;;;;;;
637,00;114,20;73,58;;;;;;
638,00;115,38;74,22;;;;;;
639,00;113,89;73,41;;;;;;
640,00;111,21;71,94;;;;;;
641,00;114,95;73,98;;;;;;
